LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
104,0403,44,KA,"Regionalausschuss ""Jugend musiziert"" Münsterland","Regionalwettbewerb ""Jugend musiziert NRW"" in Münster",5090.0,5090.0,0.0,0.0,5190.0,5190.0,0.0,0.0,freiwillig,31.12.2030
105,0404,42,KA,Freunde der Französischen Kultur e.V.,"Förderung des Projektes ""Französischer Bücherbus NRW""",380.0,0.0,0.0,380.0,380.0,0.0,0.0,380.0,freiwillig,31.12.2028
106,0404,42,KA,"Stadtteilbücherei Münster-Hiltrup, St. Clemens","Betrieb der Stadtteilbücherei Münster-Hiltrup, St. Clemens",100600.0,0.0,0.0,100600.0,100600.0,0.0,0.0,100600.0,freiwillig,31.12.2028
107,0404,42,KA,"Bücherei St. Michael, Münster- Gievenbeck","Betrieb der Stadtteilbücherei St. Michael, Münster- Gievenbeck",5650.0,0.0,0.0,5650.0,5650.0,0.0,0.0,5650.0,freiwillig,31.12.2028
108,0404,42,KA,Bischöfliches Generalvikariat,Unterstützung der kirchlichen öffentlichen Büchereien bei der Beschaffung von Büchern und Medien,21000.0,0.0,0.0,21000.0,21000.0,0.0,0.0,21000.0,freiwillig,jährlich
109,0406,47,KA,Institut für vergleichende Städtegeschichte gGmbH,Stärkung des Wissenschaftsstandorts Münster,23000.0,0.0,0.0,23000.0,23000.0,0.0,0.0,23000.0,freiwillig,31.12.2028
110,0502,50,ASGAM,Gemeinnützige Gesellschaft zur Unterstützung Asylsuchender e.V.,"Flüchtlings- und Migrationsberatung, Ehrenamtskoordination",214650.0,197210.0,0.0,17440.0,218590.0,201150.0,0.0,17440.0,dem Grunde nach,31.12.2030
111,0502,50,ASGAM,Gemeinnützige Gesellschaft zur Unterstützung Asylsuchender e.V.,Psychosoziale Flüchtlingshilfe,106800.0,97410.0,0.0,9390.0,108750.0,99360.0,0.0,9390.0,dem Grunde nach,31.12.2030
112,0503,50,ASGAM,"Vereine, Verbände und Initiativen",Haupt- und ehrenamtliche Flüchtlingsberatung und -betreuung,19960.0,0.0,0.0,19960.0,19960.0,0.0,0.0,19960.0,dem Grunde nach,31.12.2028
113,0503,50,ASGAM,Gemeindediakonie Hiltrup e.V.,Seniorenarbeit in Hiltrup und Amelsbüren,53940.0,44000.0,0.0,9940.0,54820.0,44880.0,0.0,9940.0,dem Grunde nach,31.12.2030
114,0503,50,ASGAM,Alzheimer Gesellschaft Münster e.V.,"Beratung, Netzwerk- und Öffentlichkeitsarbeit zum Thema Demenz",31930.0,29930.0,0.0,2000.0,32530.0,30530.0,0.0,2000.0,dem Grunde nach,31.12.2032
115,0503,50,ASGAM,PariSozial Münsterland gGmbH,Beratung für Menschen mit Hörbehinderung,129970.0,104970.0,0.0,25000.0,132070.0,107070.0,0.0,25000.0,dem Grunde nach,31.12.2031
116,0503,50,ASGAM,Lebenshilfe Münster e.V.,Familienunterstützender Dienst (Beratung und Unterstützung sowie Freizeit),45550.0,38300.0,0.0,7250.0,46320.0,39070.0,0.0,7250.0,dem Grunde nach,31.12.2031
