section;source_file;pdf_page;printed_page;kind;year;code;label;level;unit;ordentliche_ertraege;ordentliche_aufwendungen;ordentliches_ergebnis;finanzergebnis;ergebnis_laufende_verwaltung;ausserordentliches_ergebnis;ergebnis_teilhaushalt;einzahlungen_laufend;auszahlungen_laufend;saldo_laufend;einzahlungen_investitionen;auszahlungen_investitionen;saldo_investitionen;finanzmittelueberschuss_fehlbetrag;einzahlungen_finanzierung;auszahlungen_finanzierung;saldo_finanzierung;verpflichtungsermaechtigungen
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;05;Soziale Leistungen;product_area;EUR;276474670.00;396357860.00;-119883190.00;;-119883190.00;;-119883190.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0601;Förderung von Kindern in Tagesbetreuung;product_group;EUR;128870040.00;218007240.00;-89137200.00;;-89137200.00;;-89137200.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0602;Kinder- und Jugendarbeit;product_group;EUR;28100440.00;46262570.00;-18162130.00;;-18162130.00;;-18162130.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0603;Förd. v. benachteiligten jungen Menschen;product_group;EUR;548010.00;10676380.00;-10128370.00;;-10128370.00;;-10128370.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0604;Familienförderung;product_group;EUR;363890.00;5987210.00;-5623320.00;;-5623320.00;;-5623320.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0605;Erzieh.u.wirtschaftl.Hilfen für Familien;product_group;EUR;26491370.00;117844510.00;-91353140.00;;-91353140.00;;-91353140.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;06;Kinder-, Jugend- und Familienhilfe;product_area;EUR;184373750.00;398777910.00;-214404160.00;;-214404160.00;;-214404160.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0701;Gesundheitsdienste;product_group;EUR;3089970.00;17433250.00;-14343280.00;;-14343280.00;;-14343280.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;07;Gesundheitsdienste;product_area;EUR;3089970.00;17433250.00;-14343280.00;;-14343280.00;;-14343280.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0801;Sportentwicklung, Sportanlagen/-stätten;product_group;EUR;2764120.00;9697260.00;-6933140.00;;-6933140.00;;-6933140.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0802;Bäder;product_group;EUR;2357200.00;9138320.00;-6781120.00;;-6781120.00;;-6781120.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;08;Sportförderung;product_area;EUR;5121320.00;18835580.00;-13714260.00;;-13714260.00;;-13714260.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0901;Stadt-/Regionalentwicklung, Stadtplanung;product_group;EUR;1870840.00;11597990.00;-9727150.00;;-9727150.00;;-9727150.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;0902;Vermessung, Kataster und Geoinformation;product_group;EUR;1524710.00;9463290.00;-7938580.00;;-7938580.00;;-7938580.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;09;Räuml.Planung/Entwickl.,Geoinformation;product_area;EUR;3395550.00;21061280.00;-17665730.00;;-17665730.00;;-17665730.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1001;Bauaufsicht und baurechtliche Beratung;product_group;EUR;3421800.00;8162140.00;-4740340.00;;-4740340.00;;-4740340.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1002;Denkmalschutz und Denkmalpflege;product_group;EUR;414000.00;1859860.00;-1445860.00;;-1445860.00;;-1445860.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1003;Wohnen;product_group;EUR;395290.00;6933870.00;-6538580.00;;-6538580.00;;-6538580.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;10;Bauen und Wohnen;product_area;EUR;4231090.00;16955870.00;-12724780.00;;-12724780.00;;-12724780.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1101;Abwasserbeseitigung;product_group;EUR;86972920.00;53952580.00;33020340.00;;33020340.00;;33020340.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1102;Abfallwirtschaft (AWM);product_group;EUR;;;;4000000.00;4000000.00;;4000000.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;11;Ver- und Entsorgung;product_area;EUR;86972920.00;53952580.00;33020340.00;4000000.00;37020340.00;;37020340.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;1201;Bereitstellung Verkehrsflächen/-anlagen;product_group;EUR;47168160.00;83066730.00;-35898570.00;-5000.00;-35903570.00;;-35903570.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;72;68;ergebnisplanung;2026;12;Verkehrsflächen und -anlagen, ÖPNV;product_area;EUR;47168160.00;83066730.00;-35898570.00;-5000.00;-35903570.00;;-35903570.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1301;Grün- und Freiflächen;product_group;EUR;1373370.00;20138550.00;-18765180.00;;-18765180.00;;-18765180.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1302;Friedhöfe;product_group;EUR;2091670.00;2128980.00;-37310.00;;-37310.00;;-37310.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1303;Natur, Landschaft, Erholung,Wasserschutz;product_group;EUR;410880.00;4336550.00;-3925670.00;;-3925670.00;;-3925670.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1304;Fließende Gewässer;product_group;EUR;1664060.00;2166980.00;-502920.00;-2000.00;-504920.00;;-504920.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1305;Wald und Forstwirtschaft;product_group;EUR;263770.00;697720.00;-433950.00;;-433950.00;;-433950.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;13;Natur- und Landschaftspflege;product_area;EUR;5803750.00;29468780.00;-23665030.00;-2000.00;-23667030.00;;-23667030.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1401;Übergreifender Umweltschutz;product_group;EUR;854580.00;5434270.00;-4579690.00;;-4579690.00;;-4579690.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;14;Umweltschutz;product_area;EUR;854580.00;5434270.00;-4579690.00;;-4579690.00;;-4579690.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1501;Anteile an Unternehmen;product_group;EUR;18787380.00;13260480.00;5526900.00;9594880.00;15121780.00;;15121780.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1502;Stadtmarketing (MM);product_group;EUR;;3759780.00;-3759780.00;;-3759780.00;;-3759780.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1503;Stadthalle Hiltrup;product_group;EUR;157240.00;235520.00;-78280.00;;-78280.00;;-78280.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1504;Öffentliche Toilettenanlagen;product_group;EUR;;476530.00;-476530.00;;-476530.00;;-476530.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;15;Wirtschaft und Tourismus;product_area;EUR;18944620.00;17732310.00;1212310.00;9594880.00;10807190.00;;10807190.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1601;Allgemeine Finanzwirtschaft;product_group;EUR;904050000.00;171675300.00;732374700.00;-34670000.00;697704700.00;;697704700.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;16;Allgemeine Finanzwirtschaft;product_area;EUR;904050000.00;171675300.00;732374700.00;-34670000.00;697704700.00;;697704700.00;;;;;;;;;;;
