band,seite,tabelle,datei
1,193,1,band1_p193_PG0301_LeistungenfurSchulen_Tabelle_t1.csv
1,194,0,band1_p194_PG0301_LeistungenfurSchulen_Tabelle_t0.csv
1,194,1,band1_p194_PG0301_LeistungenfurSchulen_Tabelle_t1.csv
1,195,0,band1_p195_PG0301_LeistungenfurSchulen_Tabelle_t0.csv
1,196,0,band1_p196_PG0301_LeistungenfurSchulen_Teilergebnisplan_t0.csv
1,198,0,band1_p198_PG0301_LeistungenfurSchulen_Teilfinanzplan_t0.csv
1,201,0,band1_p201_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Beschreibung_t0.csv
1,202,0,band1_p202_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Kennzahlen_t0.csv
1,203,0,band1_p203_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Tabelle_t0.csv
1,203,1,band1_p203_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Tabelle_t1.csv
1,204,0,band1_p204_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Tabelle_t0.csv
1,204,1,band1_p204_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Tabelle_t1.csv
1,205,0,band1_p205_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Teilergebnisplan_t0.csv
1,207,0,band1_p207_PG0302_ZentraleLeistungenfuramSchullebenBeteiligte_Teilfinanzplan_t0.csv
1,210,0,band1_p210_PB04_KulturundWissenschaft_Teilergebnisplan_t0.csv
1,211,0,band1_p211_PB04_KulturundWissenschaft_Teilfinanzplan_t0.csv
1,213,0,band1_p213_PG0401_Kulturmanagement_Kulturforderung_Beschreibung_t0.csv
1,214,0,band1_p214_PG0401_Kulturmanagement_Kulturforderung_Kennzahlen_t0.csv
1,215,0,band1_p215_PG0401_Kulturmanagement_Kulturforderung_Kennzahlen_t0.csv
1,216,0,band1_p216_PG0401_Kulturmanagement_Kulturforderung_Tabelle_t0.csv
1,216,1,band1_p216_PG0401_Kulturmanagement_Kulturforderung_Tabelle_t1.csv
1,217,0,band1_p217_PG0401_Kulturmanagement_Kulturforderung_Tabelle_t0.csv
1,217,1,band1_p217_PG0401_Kulturmanagement_Kulturforderung_Tabelle_t1.csv
1,218,0,band1_p218_PG0401_Kulturmanagement_Kulturforderung_Teilergebnisplan_t0.csv
1,220,0,band1_p220_PG0401_Kulturmanagement_Kulturforderung_Teilfinanzplan_t0.csv
1,223,0,band1_p223_PG0402_Volkshochschule_Beschreibung_t0.csv
1,224,0,band1_p224_PG0402_Volkshochschule_Tabelle_t0.csv
1,224,1,band1_p224_PG0402_Volkshochschule_Tabelle_t1.csv
1,225,0,band1_p225_PG0402_Volkshochschule_Tabelle_t0.csv
1,226,0,band1_p226_PG0402_Volkshochschule_Teilergebnisplan_t0.csv
1,228,0,band1_p228_PG0402_Volkshochschule_Teilfinanzplan_t0.csv
1,231,0,band1_p231_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Beschreibung_t0.csv
1,232,0,band1_p232_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Kennzahlen_t0.csv
1,233,0,band1_p233_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t0.csv
1,233,1,band1_p233_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t1.csv
1,233,2,band1_p233_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t2.csv
1,234,0,band1_p234_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t0.csv
1,234,1,band1_p234_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t1.csv
1,235,0,band1_p235_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Tabelle_t0.csv
1,236,0,band1_p236_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Teilergebnisplan_t0.csv
1,238,0,band1_p238_PG0403_Westf_SchulefurMusikundForderungderStadtteilmusikschulen_Teilfinanzplan_t0.csv
1,241,0,band1_p241_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Beschreibung_t0.csv
1,242,0,band1_p242_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Kennzahlen_t0.csv
1,243,0,band1_p243_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Tabelle_t0.csv
1,243,1,band1_p243_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Tabelle_t1.csv
1,244,0,band1_p244_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Teilergebnisplan_t0.csv
1,246,0,band1_p246_PG0404_StadtbuchereiundForderungvonBuchereienfreierTrager_Teilfinanzplan_t0.csv
1,249,0,band1_p249_PG0405_Stadtmuseum_Beschreibung_t0.csv
1,250,0,band1_p250_PG0405_Stadtmuseum_Kennzahlen_t0.csv
1,251,0,band1_p251_PG0405_Stadtmuseum_Tabelle_t0.csv
1,251,1,band1_p251_PG0405_Stadtmuseum_Tabelle_t1.csv
1,251,2,band1_p251_PG0405_Stadtmuseum_Tabelle_t2.csv
1,252,0,band1_p252_PG0405_Stadtmuseum_Tabelle_t0.csv
1,253,0,band1_p253_PG0405_Stadtmuseum_Teilergebnisplan_t0.csv
1,255,0,band1_p255_PG0405_Stadtmuseum_Teilfinanzplan_t0.csv
1,257,0,band1_p257_PG0406_Stadtarchiv_Beschreibung_t0.csv
1,258,0,band1_p258_PG0406_Stadtarchiv_Kennzahlen_t0.csv
1,259,0,band1_p259_PG0406_Stadtarchiv_Tabelle_t0.csv
1,259,1,band1_p259_PG0406_Stadtarchiv_Tabelle_t1.csv
1,260,0,band1_p260_PG0406_Stadtarchiv_Teilergebnisplan_t0.csv
1,261,0,band1_p261_PG0406_Stadtarchiv_Teilfinanzplan_t0.csv
1,263,0,band1_p263_PG0407_TheaterMunster_Beschreibung_t0.csv
1,264,0,band1_p264_PG0407_TheaterMunster_Teilergebnisplan_t0.csv
1,267,0,band1_p267_PG0408_GeschichtsortVillatenHompel_Beschreibung_t0.csv
1,268,0,band1_p268_PG0408_GeschichtsortVillatenHompel_Tabelle_t0.csv
1,269,0,band1_p269_PG0408_GeschichtsortVillatenHompel_Teilergebnisplan_t0.csv
1,270,0,band1_p270_PG0408_GeschichtsortVillatenHompel_Teilfinanzplan_t0.csv
1,272,0,band1_p272_PG05_Soziale_Leistungen_Beschreibung_t0.csv
1,273,0,band1_p273_PG05_Soziale_Leistungen_Ziele_t0.csv
1,273,1,band1_p273_PG05_Soziale_Leistungen_Kennzahlen_t1.csv
1,274,0,band1_p274_PB05_SozialeLeistungen_Teilergebnisplan_t0.csv
1,275,0,band1_p275_PB05_SozialeLeistungen_Teilfinanzplan_t0.csv
1,277,0,band1_p277_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Beschreibung_t0.csv
1,278,0,band1_p278_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Kennzahlen_t0.csv
1,279,0,band1_p279_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Tabelle_t0.csv
1,279,1,band1_p279_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Tabelle_t1.csv
1,280,0,band1_p280_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Tabelle_t0.csv
1,280,1,band1_p280_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Tabelle_t1.csv
1,281,0,band1_p281_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Tabelle_t0.csv
1,282,0,band1_p282_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Teilergebnisplan_t0.csv
1,284,0,band1_p284_PG0501_LeistungenderGrundsicherungfurArbeitsuchende_Teilfinanzplan_t0.csv
1,287,0,band1_p287_PG0502_SicherungdesLebensunterhalts_Beschreibung_t0.csv
1,288,0,band1_p288_PG0502_SicherungdesLebensunterhalts_Tabelle_t0.csv
1,288,1,band1_p288_PG0502_SicherungdesLebensunterhalts_Tabelle_t1.csv
1,288,2,band1_p288_PG0502_SicherungdesLebensunterhalts_Tabelle_t2.csv
1,289,0,band1_p289_PG0502_SicherungdesLebensunterhalts_Tabelle_t0.csv
1,290,0,band1_p290_PG0502_SicherungdesLebensunterhalts_Teilergebnisplan_t0.csv
1,292,0,band1_p292_PG0502_SicherungdesLebensunterhalts_Teilfinanzplan_t0.csv
1,295,0,band1_p295_PG0503_SicherungbesonderersozialerBedarfe_Beschreibung_t0.csv
1,296,0,band1_p296_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t0.csv
1,297,0,band1_p297_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t0.csv
1,298,0,band1_p298_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t0.csv
1,298,1,band1_p298_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t1.csv
1,299,0,band1_p299_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t0.csv
1,299,1,band1_p299_PG0503_SicherungbesonderersozialerBedarfe_Tabelle_t1.csv
1,300,0,band1_p300_PG0503_SicherungbesonderersozialerBedarfe_Teilergebnisplan_t0.csv
1,302,0,band1_p302_PG0503_SicherungbesonderersozialerBedarfe_Teilfinanzplan_t0.csv
1,305,0,band1_p305_PG0504_Wohngeld_Beschreibung_t0.csv
1,306,0,band1_p306_PG0504_Wohngeld_Teilergebnisplan_t0.csv
1,310,0,band1_p310_PB06_Kinder_Jugend_undFamilienhilfe_Teilergebnisplan_t0.csv
1,311,0,band1_p311_PB06_Kinder_Jugend_undFamilienhilfe_Teilfinanzplan_t0.csv
1,313,0,band1_p313_PG0601_ForderungvonKinderninTagesbetreuung_Beschreibung_t0.csv
1,314,0,band1_p314_PG0601_ForderungvonKinderninTagesbetreuung_Kennzahlen_t0.csv
1,315,0,band1_p315_PG0601_ForderungvonKinderninTagesbetreuung_Kennzahlen_t0.csv
1,316,0,band1_p316_PG0601_ForderungvonKinderninTagesbetreuung_Tabelle_t0.csv
1,316,1,band1_p316_PG0601_ForderungvonKinderninTagesbetreuung_Tabelle_t1.csv
1,317,0,band1_p317_PG0601_ForderungvonKinderninTagesbetreuung_Tabelle_t0.csv
1,318,0,band1_p318_PG0601_ForderungvonKinderninTagesbetreuung_Teilergebnisplan_t0.csv
1,321,0,band1_p321_PG0601_ForderungvonKinderninTagesbetreuung_Teilfinanzplan_t0.csv
1,325,0,band1_p325_PG0602_Kinder_undJugendarbeit_Beschreibung_t0.csv
1,326,0,band1_p326_PG0602_Kinder_undJugendarbeit_Kennzahlen_t0.csv
1,327,0,band1_p327_PG0602_Kinder_undJugendarbeit_Tabelle_t0.csv
1,327,1,band1_p327_PG0602_Kinder_undJugendarbeit_Tabelle_t1.csv
1,328,0,band1_p328_PG0602_Kinder_undJugendarbeit_Teilergebnisplan_t0.csv
1,330,0,band1_p330_PG0602_Kinder_undJugendarbeit_Teilfinanzplan_t0.csv
1,333,0,band1_p333_PG0603_ForderungvonbenachteiligtenjungenMenschen_Beschreibung_t0.csv
1,334,0,band1_p334_PG0603_ForderungvonbenachteiligtenjungenMenschen_Kennzahlen_t0.csv
1,335,0,band1_p335_PG0603_ForderungvonbenachteiligtenjungenMenschen_Tabelle_t0.csv
1,335,1,band1_p335_PG0603_ForderungvonbenachteiligtenjungenMenschen_Tabelle_t1.csv
1,336,0,band1_p336_PG0603_ForderungvonbenachteiligtenjungenMenschen_Tabelle_t0.csv
1,337,0,band1_p337_PG0603_ForderungvonbenachteiligtenjungenMenschen_Teilergebnisplan_t0.csv
1,339,0,band1_p339_PG0603_ForderungvonbenachteiligtenjungenMenschen_Teilfinanzplan_t0.csv
1,343,0,band1_p343_PG0604_Familienforderung_Beschreibung_t0.csv
1,344,0,band1_p344_PG0604_Familienforderung_Kennzahlen_t0.csv
1,345,0,band1_p345_PG0604_Familienforderung_Tabelle_t0.csv
1,345,1,band1_p345_PG0604_Familienforderung_Tabelle_t1.csv
1,346,0,band1_p346_PG0604_Familienforderung_Teilergebnisplan_t0.csv
1,348,0,band1_p348_PG0604_Familienforderung_Teilfinanzplan_t0.csv
1,351,0,band1_p351_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Beschreibung_t0.csv
1,352,0,band1_p352_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Kennzahlen_t0.csv
1,353,0,band1_p353_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Kennzahlen_t0.csv
1,354,0,band1_p354_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t0.csv
1,355,0,band1_p355_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t0.csv
1,355,1,band1_p355_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t1.csv
1,356,0,band1_p356_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t0.csv
1,356,1,band1_p356_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t1.csv
1,357,0,band1_p357_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t0.csv
1,357,1,band1_p357_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Tabelle_t1.csv
1,358,0,band1_p358_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Teilergebnisplan_t0.csv
1,360,0,band1_p360_PG0605_ErzieherischeundwirtschaftlicheHilfenfurFamilien_Teilfinanzplan_t0.csv
1,362,0,band1_p362_PB07_Gesundheitsdienste_Teilergebnisplan_t0.csv
1,363,0,band1_p363_PB07_Gesundheitsdienste_Teilfinanzplan_t0.csv
1,365,0,band1_p365_PG0701_Gesundheitsdienste_Beschreibung_t0.csv
1,366,0,band1_p366_PG0701_Gesundheitsdienste_Tabelle_t0.csv
1,366,1,band1_p366_PG0701_Gesundheitsdienste_Tabelle_t1.csv
1,367,0,band1_p367_PG0701_Gesundheitsdienste_Tabelle_t0.csv
1,367,1,band1_p367_PG0701_Gesundheitsdienste_Tabelle_t1.csv
1,368,0,band1_p368_PG0701_Gesundheitsdienste_Tabelle_t0.csv
1,368,1,band1_p368_PG0701_Gesundheitsdienste_Tabelle_t1.csv
1,369,0,band1_p369_PG0701_Gesundheitsdienste_Teilergebnisplan_t0.csv
1,371,0,band1_p371_PG0701_Gesundheitsdienste_Teilfinanzplan_t0.csv
